"TableName","SeriesCode","LineNumber","LineDescription","TimePeriod","METRIC_NAME","CL_UNIT","UNIT_MULT","DataValue","NoteRef"
"T10101","A253RL","17","Goods","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",8.4,"T10101"
"T10101","A253RL","17","Goods","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",-3.9,"T10101"
"T10101","A253RL","17","Goods","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",6.3,"T10101"
"T10101","A253RL","17","Goods","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",-4.7,"T10101"
"T10101","A646RL","18","Services","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",5.9,"T10101"
"T10101","A646RL","18","Services","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",13.8,"T10101"
"T10101","A646RL","18","Services","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",11.1,"T10101"
"T10101","A646RL","18","Services","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",2.9,"T10101"
"T10101","A646RL","18","Services","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",-0.8,"T10101"
"T10101","A646RL","18","Services","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",5.6,"T10101"
"T10101","A646RL","18","Services","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",1.6,"T10101"
"T10101","A646RL","18","Services","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",5.5,"T10101"
"T10101","A646RL","18","Services","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",13.8,"T10101"
"T10101","A646RL","18","Services","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",1.2,"T10101"
"T10101","A646RL","18","Services","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",9.8,"T10101"
"T10101","A646RL","18","Services","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",4.6,"T10101"
"T10101","A646RL","18","Services","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",-9.7,"T10101"
"T10101","A646RL","18","Services","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",3.5,"T10101"
"T10101","A021RL","19","Imports","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",12,"T10101"
"T10101","A021RL","19","Imports","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",7.1,"T10101"
"T10101","A021RL","19","Imports","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",-5.8,"T10101"
"T10101","A021RL","19","Imports","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",-3.1,"T10101"
"T10101","A021RL","19","Imports","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",-1,"T10101"
"T10101","A021RL","19","Imports","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",-2.1,"T10101"
"T10101","A021RL","19","Imports","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",3,"T10101"
"T10101","A021RL","19","Imports","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",5.4,"T10101"
"T10101","A021RL","19","Imports","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",6.9,"T10101"
"T10101","A021RL","19","Imports","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",8.4,"T10101"
"T10101","A021RL","19","Imports","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",10.1,"T10101"
"T10101","A021RL","19","Imports","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",-0.2,"T10101"
"T10101","A021RL","19","Imports","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",38,"T10101"
